COMPE,ShortName
479,BCO ITAUBANK S.A.
481,SUPERLÓGICA SCD S.A.
482,SBCASH SCD
484,MAF DTVM SA
487,DEUTSCHE BANK S.A.BCO ALEMAO
488,JPMORGAN CHASE BANK
492,ING BANK N.V.
495,BCO LA PROVINCIA B AIRES BCE
505,BCO CREDIT SUISSE S.A.
506,RJI
507,SCFI EFÍ S.A.
508,AVENUE SECURITIES DTVM LTDA.
509,CELCOIN IP S.A.
510,FFCRED SCD S.A.
511,MAGNUM SCD
512,FINVEST DTVM
513,ATF CREDIT SCD S.A.
516,QISTA S.A. CFI
518,MERCADO CRÉDITO SCFI S.A.
519,LIONS TRUST DTVM
521,PEAK SEP S.A.
522,RED SCD S.A.
523,HR DIGITAL SCD
524,WNT CAPITAL DTVM
525,INTERCAM CC LTDA
526,MONETARIE SCD
527,ATICCA SCD S.A.
528,REAG DTVM S.A.
529,PINBANK IP
530,SER FINANCE SCD S.A.
532,EAGLE SCD S.A.
534,EWALLY IP S.A.
535,MARU SCD S.A.
536,NEON PAGAMENTOS S.A. IP
537,MICROCASH SCMEPP LTDA.
539,SANTINVEST S.A. - CFI
541,FDO GARANTIDOR CRÉDITOS
545,SENSO CCVM S.A.
546,U4C INSTITUIÇÃO DE PAGAMENTO S.A.
600,BCO LUSO BRASILEIRO S.A.
604,BCO INDUSTRIAL DO BRASIL S.A.
610,BCO VR S.A.
611,BCO PAULISTA S.A.
612,BCO GUANABARA S.A.
613,OMNI BANCO S.A.
623,BANCO PAN
626,BCO C6 CONSIG
630,BCO LETSBANK S.A.
633,BCO RENDIMENTO S.A.
634,BCO TRIANGULO S.A.
637,BCO SOFISA S.A.
643,BCO PINE S.A.
652,ITAÚ UNIBANCO HOLDING S.A.
653,BANCO VOITER
654,BCO DIGIMAIS S.A.
655,BCO VOTORANTIM S.A.
707,BCO DAYCOVAL S.A
712,BCO OURINVEST S.A.
720,BCO RNX S.A.
739,BCO CETELEM S.A.
741,BCO RIBEIRAO PRETO S.A.
743,BANCO SEMEAR
745,BCO CITIBANK S.A.
746,BCO MODAL S.A.
747,BCO RABOBANK INTL BRASIL S.A.
748,BCO COOPERATIVO SICREDI S.A.
751,SCOTIABANK BRASIL
752,BCO BNP PARIBAS BRASIL S A
753,NOVO BCO CONTINENTAL S.A. - BM
754,BANCO SISTEMA
755,BOFA MERRILL LYNCH BM S.A.
756,BANCO SICOOB S.A.
757,BCO KEB HANA DO BRASIL S.A.
